ID,Fecha_Publicacion,Fecha_Incidente,Categoria,Publicacion,Distrito_Policiaco,Direccion,Hora,Latitud,Longitud,Coordenadas,Arrestos,Descripcion,Motivo,,,,,,,,,,,,,
1,02/01/16,1/1/2016,Balacera,Sábado,Veracruz,"Rincón Brujo, Maltrata",3:00,,,,0,Agreden a responsable de atropellar,Agresión,,,,,,,,,,,,,
2,09/01/16,1/8/2016,Asalto,Sábado,Veracruz,"Magueyes, Maltrata km. 239",23:00,18.829573,-97.255900,"18.829573, -97.255900",1,Robo de 90ton de azucar a 3 trailers,Asaltante ordena a chofer que chocara a Policia Federal,,,,,,,,,,,,,
3,10/01/16,1/9/2016,Asalto,Domingo,Veracruz,"Puerto del Aire, Acultzingo km. 34",18:00,18.699543,-97.336793,"18.699543, -97.336793",0,Asaltan y roban moto a pareja,,,,,,,,,,,,,,
4,16/01/16,1/14/2016,Robo,Sábado,Veracruz,Nogales - Huiloapan,3:00,,,", ",0,Roban trailer con galletas,Conductor se detiene por falla del trailer. Lo interceptan y despojan del vehiculo,,,,,,,,,,,,,
5,19/01/16,1/18/2016,Ejecución,Martes,Puebla,"Boca del Monte, km. 225",14:30,18.832306,-97.329236,"18.832306, -97.329236",0,Persona ejecutada,,,,,,,,,,,,,,
6,20/01/16,1/18/2016,Ejecución,Miércoles,Veracruz,"Magueyes, Maltrata km. 228",3:00,18.828540,-97.304777,"18.82854, -97.304777",0,Personas ejecutadas,,,,,,,,,,,,,,
7,20/01/16,1/17/2016,Robo,Miércoles,Puebla,Gasolinera de Quecholac,20:30,18.934955,-97.691157,"18.934955, -97.691157",0,Despojado de su vehiculo,Camioneta blanca y vehiculo deportivo negro lo interceptan,,,,,,,,,,,,,
8,22/01/16,1/21/2016,Robo,Viernes,Veracruz,"San Cristóbal, Huiloapan km 261",2:00,18.823265,-97.151840,"18.823265, -97.15184",0,Roban trailer con pastas y jabones,Interceptado por Tsuru Rojo,,,,,,,,,,,,,
9,24/01/16,1/23/2016,Ejecución,Domingo,Veracruz,Balastrera km. 244,3:35,18.816412,-97.234309,"18.816412, -97.234309",0,Cadáveres de 2 hombres ejecutados abandonados en un taxi,,,,,,,,,,,,,,
10,29/01/16,1/28/2016,Robo,Viernes,Veracruz,"La Estancia, km. 235",13:00,18.855848,-97.277511,"18.855848, -97.277511",0,Unidad abandonada en rampa de frenado,????,,,,,,,,,,,,,
11,08/02/16,2/7/2016,Ejecución,Lunes,Veracruz,"La Estancia, km. 235",15:00,18.855848,-97.277511,"18.855848, -97.277511",0,Encuentran degollado junto a la autopista,,,,,,,,,,,,,,
12,10/02/16,2/9/2016,Ejecución,Miércoles,Puebla,Cuacnopalan-Oaxaca km. 1,3:00,18.821221,-97.491339,"18.821221, -97.491339",0,Comando rapta y ejecuta a reportera,,,,,,,,,,,,,,
13,13/02/16,2/12/2016,Robo,Sábado,Puebla,"Esperanza - Boca del Monte, Km. 221",3:00,18.855254,-97.357540,"18.855254, -97.35754",1,Aseguran trailer en retén,,,,,,,,,,,,,,
14,14/02/16,2/14/2016,Robo,Domingo,Veracruz,"Maltrata, km 247",3:00,18.822151,-97.238515,"18.822151, -97.238515",0,Aseguran trailer con reporte de robo,,,,,,,,,,,,,,
15,18/02/16,2/16/2016,Robo,Jueves,Veracruz,Km 266,14:00,18.830541,-97.146969,"18.830541, -97.146969",0,Roban trailer con pañales,,,,14,,,,,,,,,,
16,18/02/16,2/16/2016,Robo,Jueves,Veracruz,"San Cristóbal, Huiloapan km 261",4:00,,,", ",0,Roban trailer con productos lácteos,,,,,,,,,,,,,,
17,21/02/16,2/15/2016,Robo,Domingo,Veracruz,Km 263,10:00,18.818204,-97.166597,"18.818204, -97.166597",0,Vacían trailer con cerveza,,,,,,,,,,,,,,
18,22/02/16,2/21/2016,Ejecución,Martes,Veracruz,"El infiernillo, km 224",11:30,18.835795,-97.336245,"18.835795, -97.336245",0,Persona ejecutada,,,,,,,,,,,,,,
19,22/02/16,2/21/2016,Ejecución,Domingo,Veracruz,"La Estancia, km. 238",0:30,18.844433,-97.259860,"18.844433, -97.25986",0,Persona ejecutada,,,,,,,,,,,,,,
20,11/03/16,3/10/2016,Toma clandestina,Viernes,Veracruz,"Huiloapan, km. 268",10:30,18.830394,-97.125601,"18.830394, -97.125601",0,Hallan toma clandestina,,,,,,,,,,,,,,
21,12/02/16,2/11/2016,Robo,Sábado,Veracruz,Maltrata,10:30,,,", ",0,Recuperan trailer robado,,,,,,,,,,,,,,
22,12/02/16,2/11/2016,Toma clandestina,Sábado,Puebla,"El betel, Puebla",8:00,,,", ",0,Explosión de ducto,,,,,,,,,,,,,,
23,16/02/16,2/15/2016,Toma clandestina,Miércoles,Puebla,"Puebla-Orizaba, km 189",1:30,18.841061,-97.522625,"18.841061, -97.522625",0,Explosión de ducto,,,,,,,,,,,,,,
24,17/02/16,2/11/2016,Robo,Jueves,Veracruz,Balastrera km. 244,10:00,18.816189,-97.234199,"18.816189, -97.234199",2,Detenidos con tractor robado,,,,,,,,,,,,,,
25,19/03/16,3/17/2016,Enfrentamiento,Sábado,Veracruz,"La Estancia, km. 239",6:30,18.829573,-97.255900,"18.829573, -97.2559",0,"Intentan robar trailer, da aviso a PF y se enfrentan",,,,,,,,,,,,,,
26,20/03/16,3/19/2016,Robo,Domingo,Veracruz,Maltrata,3:00,18.823211,-97.247864,"18.823211, -97.247864",0,Recuperan trailer robado,,,,,,,,,,,,,,
27,20/03/16,3/19/2016,Robo,Domingo,Veracruz,"Maltrata, km.241",8:30,18.823211,-97.247864,"18.823211, -97.247864",0,Enfrentamiento tras volcadura y rapiña,,,,,,,,,,,,,,
28,22/03/16,3/17/2016,Robo,Martes,Veracruz,,3:00,,,", ",0,Recuperan trailer robado,,,,,,,,,,,,,,
29,23/03/16,3/22/2016,Robo,Miércoles,Veracruz,Maltrata,3:00,18.823211,-97.247864,"18.823211, -97.247864",0,Recuperan trailer robado,,,,,,,,,,,,,,
30,26/03/16,3/23/2016,Robo,Sábado,Veracruz,"Gasolinera Las Gemelas, Orizaba km 272",21:30,18.847149,-97.073018,"18.847149, -97.073018",0,Roban tráiler con azúcar,,,,,,,,,,,,,,
31,01/04/16,3/25/2016,Robo,Viernes,Veracruz,Esperanza,3:00,,,", ",0,Roban tráiler con frijol,,,,,,,,,,,,,,
32,06/04/16,4/5/2016,Robo,Miércoles,Veracruz,Balastrera,9:00,18.816189,-97.234199,"18.816189, -97.234199",0,Roban caja con cargamento de tráiler de Nestlé,,,,,,,,,,,,,,
33,16/04/16,4/15/2016,Enfrentamiento,Sábado,Veracruz,"La Estancia, km 246",17:30,18.821043,-97.231158,"18.821043, -97.231158",0,Enfrentamiento entre grupos delincuenciales,,,,,,,,,,,,,,
34,18/04/16,4/3/2016,Robo,Lunes,Veracruz,Maltrata,3:00,18.823211,-97.247864,,0,Roban trailer con mercancia variada,,,,,,,,,,,,,,
35,06/05/16,5/4/2016,Robo,Viernes,Veracruz,"Puerto del aire, Acultzingo",20:00,,,,0,Vehiculo los intercepta y roba camioneta con material para la construcción,,,,,,,,,,,,,,
36,07/05/16,5/5/2016,Enfrentamiento,Sábado,Veracruz,"Tecamalucan, Acultzingo",22:30,,,,0,Enfrentamiento entre Policia estatal y grupo criminal,,,,,,,,,,,,,,
37,08/05/16,5/6/2016,Robo,Domingo,Veracruz,"San José, Esperanza km. 223",22:00,,,,0,Detienen camioneta con combustible robado,,,,,,,,,,,,,,
38,09/05/16,5/8/2016,Robo,Lunes,Veracruz,"San Cristóbal, Huiloapan km 261",2:00,,,,0,Roban trailer cargado con tubos,,,,,,,,,,,,,,
39,11/05/16,5/9/2016,Robo,Miércoles,Veracruz,"San Cristóbal, Huiloapan km 261",23:00,,,,0,Dos sujetos roban trailer con perfumes y productos de Omnilife,,,,,,,,,,,,,,
40,13/05/16,5/12/2016,Ejecución,Viernes,Veracruz,"El infiernillo, km 252",7:15,,,,0,Persona ejecutada,,,,,,,,,,,,,,
41,17/05/16,5/12/2016,Balacera,Martes,Veracruz,"Sierra de Agua, Acultzingo",22:30,,,,0,"Balacera, un herido",,,,,,,,,,,,,,
42,19/05/16,5/16/2016,Robo,Jueves,Veracruz,"Maltrata, km 248",20:30,18.823211,-97.247864,,0,"Chofer se detuvo por falla mecánica, lo ataca un grupo armado, roban trailer con alimentos",,,,,,,,,,,,,,
43,21/05/16,5/19/2016,Robo,Sábado,Veracruz,"Balastrera, km 248",3:30,18.816412,-97.234309,,0,Falsos policias detienen a un trailer con queso y lo roban,,,,,,,,,,,,,,
44,26/05/16,5/25/2016,Robo,Jueves,Veracruz,"San Cristóbal, Huiloapan km 261",3:00,,,,2,"Roban trailer en Puebla, hacen reten y recuperan la unidad",,,,,,,,,,,,,,
45,26/05/16,5/23/2016,Robo,Jueves,Veracruz,"Magueyes, km 237",23:00,,,,0,"Encuentran camioneta robada, abandonada con 800 litros de combustible",,,,,,,,,,,,,,
46,27/05/16,5/26/2016,Robo,Viernes,Veracruz,"Balastrera, km 248",3:00,18.816412,-97.234309,,0,Roban trailer con utensilios de plástico,,,,,,,,,,,,,,
47,27/05/16,5/26/2016,Robo,Viernes,Veracruz,"San Cristóbal, Huiloapan km 261",16:30,,,,1,"Roban trailer, lo persiguen, hay enfrentamiento y recuperan trailer",,,,,,,,,,,,,,
48,29/05/16,5/19/2016,Ejecución,Domingo,Veracruz,"Huiloapan, km 265",3:00,,,,0,Persona ejecutada,,,,,,,,,,,,,,
49,02/06/16,5/30/2016,Robo,Jueves,Veracruz,"Puente Colorado, Acultzingo",18:45,,,,0,Armados detienen a pareja y les roban moto y pertenencias,,,,,,,,,,,,,,
50,03/06/16,6/2/2016,Robo,Viernes,Veracruz,"San Cristóbal, Huiloapan",3:00,,,,0,Roban trailer con algodón,,,,,,,,,,,,,,
51,06/06/16,6/4/2016,Robo,Lunes,Veracruz,Autopista Puebla-Córdoba,3:00,,,,1,Detienen a chofer con tráiler robado,,,,,,,,,,,,,,
52,07/06/16,6/6/2016,Robo,Martes,Veracruz,"Balastrera, km 248",3:00,18.816412,-97.234309,,2,"Robo de trailer con productos farmacéuticos, captura a 2 sujetos",,,,,,,,,,,,,,
53,12/06/16,6/7/2016,Robo,Domingo,Veracruz,"La joyita, Orizaba",21:30,,,,0,Tres sujetos roban con violencia tráiler con fertilizantes,,,,,,,,,,,,,,
54,13/06/16,6/12/2016,Robo,Lunes,Veracruz,Km 267,8:00,,,,0,Roban y abandonan trailer con varilla,,,,,,,,,,,,,,
55,13/06/16,6/12/2016,Robo,Lunes,Veracruz,km 281,3:00,,,,0,Roban y abandonan trailer con harina,,,,,,,,,,,,,,
56,21/06/16,6/20/2016,Robo,Martes,Veracruz,"Magueyes, km 237",19:00,,,,0,Interceptan y roban trailer,,,,,,,,,,,,,,
57,25/06/16,6/24/2016,Enfrentamiento,Sábado,Veracruz,"Balastrera, km 248",3:00,18.816412,-97.234309,,0,"Policia Estatal le marca el alto, lo ignora y empieza enfrentamiento",,,,,,,,,,,,,,
58,25/06/16,6/23/2016,Robo,Sábado,Veracruz,"Jalapilla, km 269",17:00,,,,1,Detienen a sujeto con trailer robado,,,,,,,,,,,,,,
59,04/07/16,7/3/2016,Robo,Lunes,Veracruz,"La estancia, km 235",3:00,18.855848,-97.277511,,0,Encuentran trailer robado con abarrotes en Ciudad Serdán,,,,,,,,,,,,,,
60,08/07/16,7/7/2016,Robo,Viernes,Veracruz,"Magueyes, km 230",10:00,,,,0,Logra escapar de un intento de robo,,,,,,,,,,,,,,
61,09/07/16,7/8/2016,Robo,Sábado,Veracruz,Km. 246,22:30,18.821043,-97.231158,,0,Roban pipa con combustible,,,,,,,,,,,,,,
62,10/07/16,7/9/2016,Robo,Domingo,Veracruz,"San Cristóbal, Huiloapan km 261",3:00,,,,0,Aseguran tráiler,,,,,,,,,,,,,,
63,14/07/16,7/12/2016,Robo,Jueves,Veracruz,"San Cristóbal, Huiloapan km 261",23:00,,,,0,Interceptan y roban trailer con fertilizante,,,,,,,,,,,,,,
64,14/07/16,7/13/2016,Robo,Jueves,Veracruz,km 246,5:00,18.821043,-97.231158,,0,Interceptan y roban trailer con carga en general con violencia,,,,,,,,,,,,,,
65,16/07/16,7/15/2016,Secuestro,Sábado,Veracruz,"San Cristóbal, Huiloapan km 261",8:00,,,,0,Aseguran taxi sin conductor,,,,,,,,,,,,,,
66,17/07/16,7/16/2016,Robo,Domingo,Veracruz,,3:00,,,,0,Roban tráiler con Arroz,,,,,,,,,,,,,,
67,22/07/16,7/13/2016,Robo,Viernes,Veracruz,km 267,23:20,,,,0,Frustran robo de 2 traileres con cartón,,,,,,,,,,,,,,
68,23/07/16,7/21/2016,Robo,Sábado,Veracruz,km 268,3:00,,,,0,Aseguran trailer con galletas,,,,,,,,,,,,,,
69,24/07/16,7/20/2016,Asalto,Domingo,Veracruz,Cumbres de maltrata,23:30,,,,0,Asalto masivo aprovechando cierre por accidente,,,,,,,,,,,,,,
70,24/07/16,7/23/2016,Robo,Domingo,Veracruz,km 266,19:00,,,,0,Aseguran trailer robado con leche en polvo,,,,,,,,,,,,,,
71,25/07/16,7/24/2016,Robo,Lunes,Veracruz,"Gasolinera Las Gemelas, Orizaba, km 275",6:00,,,,0,Interceptan y aseguran trailer robado con detergente,,,,,,,,,,,,,,
72,30/07/16,7/29/2016,Robo,Sábado,Veracruz,"Balastrera, km 248",3:00,18.816412,-97.234309,,0,Roban trailer con colchones,,,,,,,,,,,,,,
73,31/07/16,7/30/2016,Secuestro,Domingo,Veracruz,km 266,9:00,,,,0,Aseguran auto particular,,,,,,,,,,,,,,
74,01/08/16,7/31/2016,Ejecución,Lunes,Veracruz,Maltrata km 234,7:00,,,,0,2 Personas ejecutadas,,,,,,,,,,,,,,
75,01/08/16,7/31/2016,Robo,Lunes,Veracruz,km 268,3:00,,,,1,Aseguran auto particular robado,,,,,,,,,,,,,,
76,01/08/16,8/6/2016,Robo,Lunes,Veracruz,km 272,17:00,18.847149,-97.073018,,0,Recuperan trailer robado con cerveza,,,,,,,,,,,,,,
77,03/08/16,8/2/2016,Robo,Miércoles,Veracruz,km 268,12:30,,,,0,Roban y recuperan trailer con cerveza,,,,,,,,,,,,,,
78,04/08/16,8/2/2016,Robo,Jueves,Veracruz,"Jalapilla, km 269",11:00,,,,0,Roban 3 sujetos armados tráiler con refresco,,,,,,,,,,,,,,
79,06/08/16,8/5/2016,Robo,Sábado,Veracruz,km 272,11:20,18.847149,-97.073018,,0,Aseguran trailer con carga de Nestlé,,,,,,,,,,,,,,
80,18/08/16,8/17/2016,Ejecución,Jueves,Veracruz,km 273,3:00,,,,0,2 Personas ejecutadas,,,,,,,,,,,,,,
81,19/08/16,8/17/2016,Robo,Viernes,Veracruz,,3:00,,,,0,Aseguran trailer abandonado,,,,,,,,,,,,,,
82,20/08/16,8/19/2016,Enfrentamiento,Sábado,Veracruz,"San Cristóbal, Huiloapan km 261",0:45,,,,0,Enfrentamiento entre Policia estatal y grupo criminal,,,,,,,,,,,,,,
83,22/08/16,8/21/2016,Robo,Lunes,Veracruz,"Gasolinera Las Gemelas, Orizaba, km 275",3:00,,,,0,Aseguran dos trailers que transportaban carnes frías,,,,,,,,,,,,,,
84,23/08/16,8/22/2016,Robo,Martes,Veracruz,,0:00,,,,0,Roban trailer con carga de Colgate,,,,,,,,,,,,,,
85,27/08/16,8/26/2016,Enfrentamiento,Sábado,Veracruz,"La Estancia, km 239",1:30,18.829573,-97.255900,,0,Enfrentamiento entre policia federal y grupo criminal,,,,,,,,,,,,,,
86,28/08/16,8/26/2016,Robo,Domingo,Veracruz,"Balastrera, km 248",20:30,18.816412,-97.234309,,0,Roban 8 sujetos 3 trailers con papel higiénico,,,,,,,,,,,,,,
87,28/08/16,8/27/2016,Robo,Domingo,Veracruz,"Jalapilla, km 269",7:00,,,,0,Roban camión con muebles y elctrónicos,,,,,,,,,,,,,,
88,28/08/16,8/26/2016,Robo,Domingo,Veracruz,km 270,3:00,,,,0,Aseguran camioneta particular con registro de robo,,,,,,,,,,,,,,
89,30/08/16,8/29/2016,Enfrentamiento,Martes,Veracruz,km 221,12:30,18.855254,-97.357540,,0,Enfrentamiento entre Policia estatal y grupo criminal,,,,,,,,,,,,,,
90,04/09/16,9/2/2016,Robo,Domingo,Veracruz,"Gasolinera Las Gemelas, Orizaba, km 275",19:30,,,,0,"Interceptado por Jetta, raptan a chofer y liberan al dia siguiente.",,,,,,,,,,,,,,
91,06/09/16,9/3/2016,Asalto,Martes,Puebla,Km 212,2:00,,,,0,Asaltan a vehiculos detenidos por accidente,,,,,,,,,,,,,,
92,08/09/16,9/6/2016,Robo,Jueves,Veracruz,"Jalapilla, km 269",3:00,,,,0,Robo de 2 trailers con 1200 bultos de azucar,,,,,,,,,,,,,,
93,13/09/16,9/12/2016,Robo,Martes,Veracruz,"Jalapilla, km 269",14:00,,,,0,Roban trailer y recuperan horas después por el localizador GPS,,,,,,,,,,,,,,
94,13/09/16,9/12/2016,Robo,Martes,Veracruz,"Jalapilla, km 269",17:00,,,,0,"3 hombres armados roban trailer con jugos, los persigue la policía y abandonan el trailer",,,,,,,,,,,,,,
95,14/09/16,9/13/2016,Robo,Miércoles,Veracruz,km 286,3:00,,,,0,Aseguran auto robado,,,,,,,,,,,,,,
96,15/09/16,9/13/2016,Robo,Jueves,Veracruz,Sumidero km 284,9:00,,,,0,Aseguran trailer robado,,,,,,,,,,,,,,
97,22/09/16,9/21/2016,Robo,Jueves,Veracruz,,3:00,,,,0,Aseguran trailer robado,,,,,,,,,,,,,,
98,22/09/16,9/21/2016,Robo,Jueves,Veracruz,"Jalapilla, km 269",6:45,,,,0,Aseguran vehiculo con gasolina robada,,,,,,,,,,,,,,
99,22/09/16,9/22/2016,Toma clandestina,Jueves,Veracruz,"Balastrera, km 248",3:00,18.816412,-97.234309,,0,Hallan toma clandestina,,,,,,,,,,,,,,
100,26/09/16,9/25/2016,Robo,Lunes,Veracruz,Sumidero km 284,3:00,,,,0,Aseguran trailer robado,,,,,,,,,,,,,,
101,26/09/16,9/23/2016,Robo,Lunes,Veracruz,Sumidero km 284,9:00,,,,0,Aseguran trailer robado,,,,,,,,,,,,,,
102,29/09/16,9/27/2016,Robo,Jueves,Veracruz,km 237,17:00,,,,0,Aseguran 2 vehiculos con gasolina robada,,,,,,,,,,,,,,
103,30/09/16,9/29/2016,Secuestro,Viernes,Veracruz,"San Cristóbal, Huiloapan km 261",3:00,,,,0,Logra escapar de secuestro aprovechando bloqueo en la autopista,,,,,,,,,,,,,,
104,30/09/16,9/28/2016,Robo,Viernes,Veracruz,"San Cristóbal, Huiloapan km 261",11:00,,,,0,3 sujetos Roban tráiler con llantas,,,,,,,,,,,,,,
105,10/10/16,10/7/2016,Robo,Lunes,Veracruz,"La Estancia, km 239",21:00,18.829573,-97.255900,,0,Sujetos se suben a caja de trailer en movimiento con azúcar y le roban 12 bultos ,,,,,,,,,,,,,,
106,12/10/16,10/10/2016,Robo,Miércoles,Veracruz,Trébol autopista Mendoza,18:00,,,,0,Roban tráiler con alimento para perro,,,,,,,,,,,,,,
107,13/10/16,10/12/2016,Robo,Jueves,Veracruz,"San Cristóbal, Huiloapan km 261",16:00,,,,0,Robán tráiler ,,,,,,,,,,,,,,
108,15/10/16,10/10/2016,Robo,Sábado,Veracruz,"Balastrera, km 248",21:00,18.816412,-97.234309,,0,Roban tráiler con colchones,,,,,,,,,,,,,,
109,15/10/16,10/10/2016,Robo,Sábado,Veracruz,Trébol autopista Mendoza,17:00,,,,0,4 sujetos roban camión con alimento para perro,,,,,,,,,,,,,,
110,18/10/16,10/17/2016,Enfrentamiento,Martes,Veracruz,Caseta de esperanza,13:00,,,,0,Enfrentamiento entre robaductos y soldados,,,,,,,,,,,,,,
